楽曲レベル,TOTAL値,COMPLEX,POWER,RHYTHM,SCRATCH,HOLDING,GIMMICK,フルタイトル
3,260,12.20,6.65,7.41,3.78,0.00,0.00,EXCEED THE D[BEGINNER]
3,180,10.54,9.71,7.72,3.64,9.04,19.40,Gimme All The Cocaine [BEGINNER]
3,280,16.44,19.50,18.36,4.37,2.85,0.00,Hi-Fi-Story [SP EASY]
3,270,16.66,22.85,10.79,12.02,0.00,0.00,HOPE [7key Easy HOPE]
3,295,17.77,29.00,24.55,7.48,13.32,0.00,IMPULSE [SP BEGINNER]
3,160,21.89,16.13,12.79,5.00,0.00,0.00,INLINE [5k Beginner]
3,160,26.50,21.71,15.14,5.17,0.00,0.00,INLINE [7k Beginner]
3,260,13.17,15.96,10.97,9.37,0.00,0.00,LAST PROPOZE[BEGINNER]
3,300,17.10,20.06,9.56,3.47,0.00,19.74,Life is PIANO[Beginner]
3,250,15.02,18.86,11.65,11.22,11.48,0.00,LiVEMeTAL[BEGINNER]
3,240,7.16,11.00,2.61,3.53,2.85,0.00,Luxvinore [7-B]
3,260,14.69,17.30,15.15,14.40,5.71,16.01,MESMERA [SP EASY]
3,270,15.62,19.75,13.48,18.49,0.00,0.00,Never Escape
3,253,17.38,12.25,7.26,4.11,0.00,18.20,Opera House
3,300,16.86,27.53,14.20,14.30,0.00,0.00,Palette Lab [BEGINNER]
3,250,10.09,15.94,8.75,3.99,3.24,0.00,Pillars of Ash [BEGINNER]
3,264,17.56,15.90,23.54,18.48,30.14,0.00,Q33B [BEGINNER / GdbG BMS Package]
3,350,13.14,29.57,7.82,3.16,0.00,0.00,rainbow
3,350,12.85,10.62,7.94,4.59,0.00,0.00,scualee[BEGINNER]
3,350,12.85,10.62,7.94,4.59,0.00,0.00,scualee[BEGINNER]
3,299,17.89,22.95,20.26,8.57,6.16,0.00,Secret Order [BEGINNER]
3,280,20.96,34.18,20.64,4.38,19.24,0.00,self-dissociation [SP BEGINNER]
3,300,30.21,23.17,33.93,3.58,20.13,0.00,Sesame Kingdom [Sesame Voyager]
